frameno,tp-tri-count,fn-tri-count,true-positive,false-positive,false-negative,true-negative
1,1003015,0,125473,1466598,0,505081,18
2,980579,0,122532,1464225,0,510395,24
3,965037,0,120653,1460603,0,515896,24
4,974928,0,121830,1471786,0,503536,26
5,1001471,0,125167,1456830,0,515155,26
6,1049795,0,131302,1460355,0,505495,22
7,1056182,0,131972,1469214,0,495966,18
8,1026020,0,128185,1480170,0,488797,22
9,952482,0,118981,1476605,0,501566,19
10,942795,0,117856,1473665,0,505631,23
11,966265,0,120930,1487894,0,488328,22
12,1032739,0,128994,1494246,0,473912,22
13,1062971,0,132803,1487975,0,476374,23
14,1003424,0,125399,1481793,0,489960,22
15,984381,0,123064,1466153,0,507935,26
16,947926,0,118606,1467392,0,511154,18
17,997872,0,124720,1489532,0,482900,26
18,1051912,0,131387,1511240,0,454525,24
19,1068554,0,133499,1528709,0,434944,24
20,1069998,0,133716,1499782,0,463654,24
21,1069542,0,133759,1493522,0,469871,16
22,1046664,0,130770,1492169,0,474213,17
23,1017800,0,127130,1495009,0,475013,16
24,997039,0,124605,1492860,0,479687,16
25,1047078,0,130714,1493162,0,473276,18
26,1103409,0,137955,1499137,0,460060,17
27,1085766,0,135594,1500898,0,460660,18
28,1064526,0,132896,1517750,0,446506,18
29,1039230,0,129931,1498002,0,469219,19
30,985701,0,123186,1480850,0,493116,19
31,958368,0,119856,1457559,0,519737,19
32,966497,0,120761,1464218,0,512173,18
33,994933,0,124394,1469623,0,503135,24
34,988374,0,123487,1474926,0,498739,24
35,988835,0,123614,1466915,0,506623,24
36,992045,0,124101,1462457,0,510594,23
37,1029667,0,128687,1465641,0,502824,18
38,1052301,0,131544,1457626,0,507982,24
39,1031113,0,128844,1448730,0,519578,24
40,1010313,0,126250,1453492,0,517410,24
41,1016608,0,127177,1460590,0,509385,18
42,1055046,0,131773,1483186,0,482193,18
43,1083707,0,135379,1497147,0,464626,17
44,1041532,0,130193,1485122,0,481837,16
45,1013157,0,126564,1487905,0,482683,18
